"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
143,"P S AMARA NORTH SIDE",719,581,0,1300,285,291,0,576,559,0,72,20,197,235,35,1,3,0,0,2,0,1,2,5,0,3,576
144,"P S AMARA SOUTH SIDE",307,282,0,589,177,117,0,294,259,0,34,29,35,169,13,3,1,0,0,0,0,1,0,1,0,8,294
145,"P S DIHIYA",397,319,0,716,180,204,0,384,384,0,46,6,257,52,8,3,1,1,1,0,1,0,1,2,4,1,384
146,"P S KARAUNDI NORTH SIDE",589,505,0,1094,222,291,0,513,513,0,146,19,147,172,8,3,1,0,3,2,0,1,0,3,5,3,513
147,"P S KARAUNDI SOUTH SIDE",272,237,0,509,112,122,0,234,233,0,78,3,2,134,6,1,1,1,0,0,1,1,2,2,1,1,234
148,"P S SONAHARA",248,212,0,460,146,139,0,285,85,0,22,13,157,78,2,1,0,1,1,0,1,0,0,5,2,2,285
149,"P S SONAHARA",329,287,0,616,174,174,0,348,48,0,79,2,3,257,3,0,0,0,0,0,0,0,1,1,0,2,348
150,"INTER COLLEGE RAMGARH NORTH SIDE",945,781,0,1726,468,407,0,875,17,0,123,16,309,388,11,4,2,1,3,2,1,0,3,6,3,3,875
151,"INTER COLLEGE RAMGARH SOUTH SIDE",337,283,0,620,181,196,0,377,377,0,133,3,105,127,3,0,0,0,0,0,0,0,1,0,0,5,377
152,"M INTER COLLEGE BARAWAN NORTH SIDE",814,646,1,1461,365,294,0,659,64,0,264,44,180,126,9,7,2,1,0,0,1,2,0,4,8,11,659
153,"M INTER COLLEGE BARAWAN NORTH SIDE",648,553,0,1201,310,325,0,635,635,0,247,11,221,123,6,1,1,1,1,2,1,3,0,4,4,9,635
154,"P S SEMARAHA WEST SIDE",709,591,0,1300,354,389,0,743,743,0,232,8,271,196,8,2,0,1,4,1,0,2,3,12,2,1,743
155,"P S SEMARAHA EAST SIDE",469,384,0,853,229,262,0,491,491,0,45,7,200,223,4,3,0,1,1,0,1,0,1,1,1,3,491
156,"P S BHIDUNA EAST SIDE",794,686,0,1480,383,402,0,785,703,0,233,5,417,85,4,2,1,0,4,1,2,3,5,6,4,13,785
157,"P S BHIDUNA EAST SIDE",603,468,0,1071,301,225,0,526,526,0,95,18,136,245,12,5,0,2,0,0,0,1,0,3,8,1,526
158,"P S BHIDUNA WEST SIDE",454,400,0,854,200,216,0,416,232,0,42,14,111,226,13,2,0,0,0,0,2,1,0,2,3,0,416
159,"P S BHIDUNA WEST SIDE",677,584,0,1261,332,281,0,613,13,0,245,13,99,152,17,61,3,2,0,2,2,0,2,6,2,7,613
160,"P S RAMPUR KHURD NORTH SIDE",559,468,0,1027,266,275,0,541,41,0,226,8,153,118,6,9,0,0,1,3,1,0,0,4,2,10,541
