"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
137,"PS KAKRAHI",410,378,0,788,264,256,0,520,280,0,24,45,65,373,1,0,0,3,2,1,2,0,3,1,0,520
138,"PS CHARAWAN",689,595,0,1284,409,360,0,769,2,0,21,203,120,387,7,0,1,0,1,8,1,8,4,2,6,769
139,"PS SAMDA",449,405,0,854,266,249,0,515,512,0,15,102,87,290,3,0,0,2,0,0,2,4,4,1,5,515
140,"PS BARAWN EAST",803,725,0,1528,412,377,0,789,441,0,18,75,153,479,11,4,0,6,0,2,2,10,15,2,12,789
141,"PS BARAWN WEST",774,644,0,1418,381,347,0,728,359,0,33,111,132,373,7,4,3,2,2,5,4,15,19,4,14,728
142,"PS UNCHGAON",617,511,0,1128,387,274,0,661,656,0,23,139,75,397,1,5,0,0,0,2,3,4,6,3,3,661
143,"PS NETWARI CHATURPUR ROOM NO. 1",432,377,0,809,250,229,0,479,478,0,19,110,43,287,3,1,0,1,0,0,1,3,4,1,6,479
144,"PS NETWARI CHATURPUR ROOM NO. 2",473,400,0,873,269,211,0,480,480,0,12,111,27,294,2,0,2,1,0,1,1,8,9,3,9,480
145,"PS PARAGARIBSHAH",751,677,0,1428,480,425,0,905,31,0,47,94,141,569,8,4,1,4,3,0,0,11,13,3,7,905
146,"PS FAKHARPUR",490,391,0,881,285,254,0,539,538,0,4,55,160,263,3,0,0,3,0,28,1,4,6,4,8,539
147,"PS KESHARUWA BUJURG NORTH",614,573,0,1187,357,350,0,707,707,0,46,79,191,355,5,0,0,9,0,10,0,5,2,2,3,707
148,"PS KESHARUWA BUJURG SOUTH",502,414,0,916,271,192,0,463,208,0,15,59,61,291,1,0,1,1,1,1,5,6,10,2,9,463
149,"PS MAAHANMAU",525,476,0,1001,296,325,0,621,348,0,16,148,48,365,3,0,3,3,1,5,3,12,8,2,4,621
150,"PANCHAM PRASAD AUDYOGIK VIDYA MANDIR INTER COLLAGE PARSAWAN MAHOLA ROOM NO. 17",585,496,0,1081,302,308,0,610,549,0,53,89,71,338,7,5,0,3,2,2,5,17,11,1,6,610
151,"PANCHAM PRASAD AUDYOGIK VIDYA MANDIR INTER COLLAGE PARSAWAN MAHOLA ROOM NO. 18",585,513,0,1098,350,303,0,653,653,0,22,202,43,361,2,4,1,2,1,0,1,5,3,2,4,653
152,"PS DANDUPUR",241,209,0,450,154,144,0,298,295,0,3,99,42,143,3,0,1,0,0,2,1,1,0,0,3,298
153,"PS VIJAYANPUR SAJAHARA EAST",393,336,0,729,232,224,0,456,438,0,12,155,95,161,0,0,1,2,0,8,2,7,7,2,4,456
154,"PS VIJAYANPUR SAJAHARA WEST",697,605,0,1302,452,373,0,825,821,0,17,122,193,457,5,1,2,9,3,2,0,8,2,0,4,825
155,"PS NAGPALI",528,495,0,1023,325,319,0,644,644,0,11,94,174,329,2,7,3,1,3,2,0,2,7,5,4,644
156,"PS KANAKPUR JHAGRAULI",681,630,0,1311,432,401,0,833,800,0,28,208,85,459,4,1,3,3,2,7,3,8,10,4,8,833
157,"PS MIJHAULI KISUNDASPUR",383,336,0,719,249,217,0,466,466,0,14,84,49,291,5,1,1,4,1,1,0,7,5,2,1,466
158,"PS CHAKRASENPUR",511,435,0,946,356,293,0,649,648,0,16,131,111,376,3,0,0,2,0,6,0,0,1,1,2,649
159,"PS RAMDASPUR",692,580,0,1272,351,316,0,667,661,0,24,70,83,446,6,2,2,7,0,2,2,6,4,5,8,667
160,"PS TARDEEH EAST",606,506,0,1112,381,317,0,698,698,0,12,126,364,145,3,7,2,2,1,2,2,8,9,7,8,698
161,"PS TARDEEH WEST",471,407,0,878,269,251,0,520,518,0,21,71,163,235,4,2,0,5,2,0,1,4,7,3,2,520
162,"JHS GAYASPUR NORTH",758,694,0,1452,433,393,0,826,819,0,22,158,74,501,10,5,3,5,1,10,2,12,9,5,9,826
163,"JHS GAYASPUR SOUTH",566,510,0,1076,336,316,0,652,646,0,19,103,35,439,6,14,0,2,1,6,1,8,13,3,2,652
164,"PS GAURA",661,596,0,1257,383,380,0,763,703,0,48,122,71,477,9,1,0,1,1,3,1,4,11,7,7,763
