"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
134,"P.P.NAGLA PRATHVI",191,173,0,364,152,106,0,258,12,0,3,28,173,50,1,0,0,0,0,0,1,1,1,0,0,0,258
135,P.P.BHYAU,690,553,0,1243,377,313,0,690,690,0,11,86,118,463,3,0,0,0,0,2,1,0,0,1,2,3,690
136,P.P.BACHEPURA,732,573,0,1305,444,316,0,760,6,0,5,95,344,249,3,0,26,4,1,3,2,10,5,3,2,8,760
137,"P.P.UNCHAGAU R.N.1",443,372,0,815,163,156,0,319,16,0,7,35,24,250,0,0,0,1,0,0,0,0,0,0,1,1,319
138,"NEHRU SMARK V.UNCHAGAU R.N.1",483,393,0,876,394,236,0,630,5,0,6,27,121,470,0,0,0,0,0,1,2,0,1,1,0,1,630
139,"P.P.NAGLA SUKHA MAJRA UNCHAGAU",632,523,0,1155,460,332,0,792,190,0,4,274,16,475,3,0,1,1,0,0,4,2,2,6,3,1,792
140,"P.P.NAGLA BALJEET",260,222,0,482,192,131,0,323,5,0,4,6,5,300,0,0,0,0,0,1,0,1,5,1,0,0,323
141,P.P.RANAUSA,591,514,0,1105,400,284,0,684,684,0,1,4,492,169,3,1,1,0,0,0,1,0,5,6,0,1,684
142,P.P.SARAYNEEM,468,396,0,864,198,178,0,376,9,0,12,142,19,185,3,1,0,1,0,2,1,1,1,1,3,4,376
143,"P.P.MIRZAPUR SHERPUR",373,315,0,688,216,185,0,401,401,0,4,11,85,289,5,1,1,1,0,1,1,0,1,0,1,0,401
144,P.P.MUKATPUR,282,231,0,513,231,145,0,376,376,0,0,9,296,65,1,1,0,0,1,1,0,0,1,0,0,1,376
145,"P.P.NAGLA MITAN WEST",732,591,0,1323,460,235,0,695,695,0,2,2,490,193,1,1,0,0,0,1,1,0,1,0,1,2,695
146,"P.P.NAGLA MITAN EAST",457,435,0,892,262,182,0,444,444,0,8,123,226,72,1,0,0,0,0,1,2,0,2,5,1,3,444
147,P.P.PILKHUN,379,290,0,669,337,233,0,570,570,0,0,4,524,36,0,0,0,0,0,4,1,0,0,0,0,1,570
148,"P.P.BICHPURI UTTAR",392,294,0,686,226,171,0,397,397,0,6,58,39,273,2,1,0,0,0,0,0,2,3,6,2,5,397
149,P.P.BHURRAKA,529,431,0,960,321,304,0,625,625,0,4,317,276,9,0,0,0,0,0,3,0,0,5,3,5,3,625
150,J.H.S.MANIGARHI,607,491,0,1098,363,225,0,588,588,0,7,81,239,240,0,0,0,0,0,0,1,0,9,6,2,3,588
151,"P.P.NAGLA ANNI",503,406,0,909,218,197,0,415,148,0,13,5,273,96,1,0,0,0,2,12,1,0,0,3,6,3,415
152,P.P.PAYANDAPUR,381,323,0,704,237,175,0,412,100,0,4,91,73,235,2,0,1,0,0,0,3,0,0,2,0,1,412
153,"P.P.SHAHNAGAR TIMRUA",687,540,0,1227,349,268,0,617,20,0,31,212,8,351,0,0,0,0,0,0,1,0,5,5,1,3,617
154,"P.P.NAGLA LALSINGH",375,299,0,674,300,179,0,479,60,0,7,67,333,60,0,1,0,0,0,2,2,0,1,2,2,2,479
155,"P.P.NAGLA SHRIKRISHAN",462,371,0,833,348,249,0,597,480,0,0,0,488,105,0,0,0,0,0,0,1,0,2,0,1,0,597
156,"P.P.NAGLA GADRIYA",552,479,0,1031,333,186,0,519,519,0,3,20,403,86,2,0,0,0,0,0,0,0,0,3,2,0,519
157,"P.P.NAGLA BIRI",509,434,0,943,429,356,0,785,11,0,3,24,42,715,0,0,0,0,0,0,0,1,0,0,0,0,785
158,"P.P.NAGLA CHONKAR",693,590,0,1283,448,275,0,723,241,3,3,60,251,401,2,0,0,0,0,0,2,0,4,0,0,0,723
159,J.H.S.GUDAU,713,636,0,1349,437,344,0,781,16,0,7,13,241,509,3,0,0,0,0,1,1,1,1,2,0,2,781
160,"P.P.KARHALA KASIMPUR",275,266,0,541,223,183,0,406,3,0,7,71,42,272,1,1,1,0,0,1,4,0,3,1,2,0,406
161,"P.P.NAGLA MAHASUKH",730,625,0,1355,539,403,0,942,142,0,7,122,635,151,4,1,1,1,1,1,4,0,2,5,2,5,942
