"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
169,"JANTA INTER COLLEGE PILUA R.NO-2",534,476,0,1010,353,280,0,633,56,0,6,4,523,60,0,0,1,7,3,9,11,9,633
170,"JANTA INTER COLLEGE PILUA R.NO-3",607,528,0,1135,365,267,0,632,29,0,108,143,342,15,0,3,1,2,0,7,4,7,632
171,"P.P.NAGLA SAYYA",737,619,0,1356,600,500,0,1100,18,0,12,7,1050,13,2,1,0,3,0,3,7,2,1100
172,"P.P.BADAGAON R.N0-1",625,538,0,1163,332,244,0,576,6,0,289,75,192,1,1,1,2,1,1,3,6,4,576
173,"P.P.BADAGAON R.N0-2",306,253,0,559,165,99,0,264,84,0,105,1,148,4,0,0,0,1,0,3,1,1,264
174,"P.P.NAGLA DALEEP",224,195,0,419,125,81,0,206,4,0,116,15,57,2,0,0,0,0,1,7,6,2,206
175,"P.P. NAGLA JAWAHAR M0 BADAGAON",209,189,0,398,124,104,0,228,110,0,141,2,67,2,1,0,3,0,0,6,2,4,228
176,"P.P.SONGRA R.N0-1",696,591,0,1287,344,290,0,634,26,0,156,86,365,6,1,2,1,6,2,1,3,5,634
177,"P.P.SONGRA R.N0-2",467,401,0,868,213,127,0,340,66,0,115,68,136,0,0,1,0,0,1,6,10,3,340
178,"P.P.NAGLA DUBEY",237,216,0,453,178,110,0,288,123,0,213,3,69,2,0,0,0,0,0,1,0,0,288
179,"P.P. NAGARIYA",277,262,0,539,196,173,0,369,6,0,134,9,216,3,0,0,0,2,0,2,2,1,369
180,P.P.GULABPUR,403,377,0,780,242,188,0,430,1,0,63,2,338,4,0,1,0,1,2,3,6,10,430
181,P.P.JOGAMAI,561,477,0,1038,221,110,0,331,101,0,100,77,143,2,1,0,0,0,1,4,2,1,331
