"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
102,"P. V. HARIYA (R.N.-1)",622,525,0,1147,303,294,0,597,594,0,4,147,169,225,6,4,7,1,7,2,1,3,3,3,0,5,2,0,8,597
103,"P. V. HARIYA (R.N.-2)",678,562,0,1240,364,324,0,688,388,0,7,186,99,332,7,1,5,0,3,2,0,2,6,4,3,11,2,8,10,688
104,"JANTA I. C. HARIYA (R.N.-1)",595,531,0,1126,278,274,0,552,552,0,62,76,82,315,2,0,0,0,2,0,0,0,2,2,2,3,0,2,2,552
105,"JANTA I. C. HARIYA (R.N.-2)",595,531,0,1126,276,254,0,530,527,0,6,237,104,135,1,2,0,2,4,1,0,3,5,6,3,1,1,15,4,530
106,"P. V. BHAISAD",624,548,0,1172,364,363,0,727,723,0,10,447,163,77,10,2,2,1,3,1,0,1,0,3,1,0,0,5,1,727
107,"J. H. S. KHAIRGHAT",508,420,0,928,264,248,0,512,512,0,10,76,203,166,7,0,1,2,8,3,3,3,3,4,0,4,3,5,11,512
108,"P. V. SIRHIE (R.N.-1)",405,331,0,736,220,204,0,424,378,0,3,96,130,181,3,0,1,1,3,0,0,3,0,0,1,0,0,1,1,424
109,"P. V. SIRHIE (R.N.-2)",819,620,0,1439,454,453,0,907,900,0,23,354,356,76,5,1,0,3,14,4,2,8,11,6,3,7,10,18,6,907
110,"P. V. AKHIEPUR",322,294,0,616,298,226,0,524,510,0,6,459,46,0,0,0,0,0,3,0,0,1,1,1,3,1,1,1,1,524
111,"P. V. JAMIN BELKUNDA",515,415,0,930,282,254,0,536,299,0,9,34,367,80,3,2,1,1,7,1,12,2,2,1,1,3,5,1,4,536
112,"P. V. BELKUNDA",606,464,0,1070,288,237,0,525,525,0,27,150,248,72,3,1,3,1,1,1,1,2,1,4,2,2,1,3,2,525
113,"ADARSH I. C. BARDEEHA",523,430,0,953,272,314,0,586,566,0,6,180,235,131,3,0,1,0,6,0,2,4,5,2,3,2,1,1,4,586
114,"P. V. BARDEEHA",545,459,0,1004,272,229,0,501,501,0,28,97,251,96,3,2,0,3,6,1,0,0,2,3,1,3,1,0,4,501
115,"P. B. BARDEEHA",640,500,0,1140,332,322,0,654,654,0,16,38,297,205,15,1,0,2,13,1,4,6,3,5,3,12,1,4,28,654
116,"P. V. GANGEPUR",765,615,0,1380,433,386,0,819,819,0,12,381,104,274,4,0,1,2,6,0,3,3,4,6,2,8,3,0,6,819
117,"J. H. S. GANGEPUR (R.N.-1)",483,408,0,891,255,231,0,486,486,0,18,220,118,104,4,0,0,2,3,0,1,0,2,1,3,1,2,4,3,486
118,"J. H. S. GANGEPUR (R.N.-2)",481,381,0,862,282,238,0,520,520,0,18,301,50,87,37,2,1,2,6,1,1,3,4,1,1,1,1,2,1,520
119,"DR. AMBEDKAR P. M. V. CIVAN",706,551,0,1257,413,409,0,822,817,0,21,376,131,254,6,3,0,1,4,2,2,5,1,5,1,2,1,2,5,822
120,"P. B. PARSIYA",578,482,0,1060,353,332,0,685,250,0,10,431,171,55,3,0,0,1,4,1,1,1,0,1,0,1,0,3,2,685
