"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
106,"PRATHMIK VIDYALYA UTTAR BHAG ROOM NUMBER-1, KHUDABAKSHPUR",678,598,0,1276,578,472,0,1050,671,0,23,257,713,21,0,2,0,1,3,0,2,2,10,9,7,1050
107,"PRATHMIK VIDYALYA DAXIN BHAG ROOM NUMBER-2, KHUDABAKSHPUR",551,484,0,1035,471,369,0,840,823,0,5,40,737,30,3,0,1,1,6,2,3,4,3,3,2,840
108,"PRATHMIK VIDYALYA ROOM NUMBER-1, BALOOMAGRA",678,592,0,1270,456,425,0,881,881,0,11,244,538,63,1,0,0,2,0,1,0,6,7,8,0,881
109,"PRATHMIK VIDYALYA ROOM NUMBER-1, NAYA GAON",637,590,0,1227,485,482,0,967,967,0,6,410,474,55,0,1,1,2,3,2,1,1,3,6,2,967
110,"PRATHMIK VIDYALYA ROOM NUMBER-1, BADOOLI",605,519,0,1124,395,341,0,736,390,0,6,269,367,78,1,0,0,1,4,0,0,5,2,2,1,736
111,"PRATHMIK VIDYALYA ROOM NUMBER-1, UMRI MAJBATA",625,575,0,1200,447,436,0,883,815,0,70,126,617,47,0,1,0,1,3,0,0,3,4,5,6,883
112,"PRATHMIK VIDYALYA ROOM NUMBER-1, HASANPUR LOTNI",250,208,0,458,191,156,0,347,341,0,7,51,280,1,0,0,0,0,1,0,1,0,3,0,3,347
113,"B.N. INTER COLLEGE ROOM NUMBER-1, JARODA PANDA",829,652,0,1481,699,403,0,1102,1101,0,67,62,951,5,6,1,0,0,2,0,1,1,3,3,0,1102
114,"B.N. INTER COLLEGE ROOM NUMBER-2, JARODA PANDA",405,378,0,783,366,299,0,665,599,0,27,33,590,4,3,0,0,0,4,0,0,1,2,0,1,665
115,"B.N. INTER COLLEGE ROOM NUMBER-3, JARODA PANDA",527,394,0,921,458,351,0,809,780,0,89,18,684,8,3,1,0,0,1,1,0,0,1,2,1,809
