"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
144,"P.P.SHEKHANPUR (W.WING)",406,359,0,765,222,195,0,417,2,0,76,223,49,5,52,2,1,0,0,3,0,0,3,2,0,1,417
145,"P.P.SHEKHANPUR (E.WING)",461,390,0,851,270,238,0,508,2,0,145,242,97,6,13,1,1,0,0,0,0,0,0,1,0,2,508
146,P.P.MAKHADUMPUR,767,645,0,1412,446,402,0,848,2,0,364,83,262,10,114,2,1,0,0,5,1,2,2,2,0,0,848
147,"P.M.V.MAKHADUMPUR (EMAMUDDINPUR)",520,448,0,968,282,265,0,547,10,0,166,113,123,3,132,2,0,1,0,4,0,0,2,1,0,0,547
148,"P.P. JIYANPUR",364,334,0,698,235,216,0,451,2,0,33,44,308,2,47,1,1,0,1,2,1,1,4,1,3,2,451
149,P.P.KAWALPATTI,629,568,0,1197,337,377,0,714,2,0,52,160,389,4,79,2,6,1,2,3,2,3,4,4,2,1,714
150,"P.P.DUMRAW U.BHATWALIYA KHAJUHA (E.WING",573,481,0,1054,375,332,0,707,300,0,43,96,347,9,188,4,0,0,0,9,2,2,1,1,2,3,707
151,"P.P.DUMRAW U.BHATWALIYA (KHAJUHA)W.WING",591,544,0,1135,316,309,0,625,450,0,310,137,40,5,113,2,1,0,0,3,1,3,3,4,1,2,625
152,"BHARTIYA KISAN J.H.SCHOOL ARYANAGAR KHAJUHA",244,190,0,434,203,136,0,339,250,0,294,7,0,1,33,0,1,0,0,0,0,2,0,0,0,1,339
153,P.P.UCHAURI,532,429,0,961,306,259,0,565,2,0,249,129,54,6,102,1,7,2,1,2,1,0,3,2,2,4,565
154,"P.P.CHAURA R.N.1",767,665,0,1432,435,432,0,867,863,0,49,286,208,10,252,5,2,4,3,10,1,7,8,12,3,7,867
