state	constituency	votes	candidate	party
Chhattisgarh	Dharsiwa	1892	NARAD NISHAD	Bahujan Samaj Party
Chhattisgarh	Dharsiwa	1717	RAHOOL TAANK	Independent
Chhattisgarh	Dharsiwa	920	GAJADHAR PRASAD VERMA	Chattisgarh Swabhiman Manch
Chhattisgarh	Dharsiwa	478	TEJRAM VERMA	Independent
Chhattisgarh	Dharsiwa	348	BISHAHAT KURRE	Communist Party of India  (Marxist-Leninist)  (Liberation)
Chhattisgarh	Dharsiwa	292	PURSHOTTAM MISHRA	Samajwadi Party
Chhattisgarh	Dharsiwa	3740	None of the Above	None of the Above
Chhattisgarh	Dondi lahara	66026	ANILA BHENDIA	Indian National Congress
Chhattisgarh	Dondi lahara	46291	HORILAL RAWATE	Bharatiya Janata Party
Chhattisgarh	Dondi lahara	19577	JANAK  LAL THAKUR	Chhattisgarh Mukti Morcha
Chhattisgarh	Dondi lahara	4435	ANITA KUMETI	Independent
Chhattisgarh	Dondi lahara	3103	GHANARAM THAKUR	National People’s Party
Chhattisgarh	Dondi lahara	1860	YOGESHWAR KUMAR KOSMA	Independent
Chhattisgarh	Dondi lahara	1787	HUB LAL CHANAP	Independent
Chhattisgarh	Dondi lahara	1559	BANWARI LAL MARKAM	Independent
Chhattisgarh	Dondi lahara	1483	GOPAL THAKUR	Bahujan Samaj Party
Chhattisgarh	Dondi lahara	1244	TUKA RAM KORRAM	Gondvana Gantantra Party
Chhattisgarh	Dondi lahara	667	RIKHIRAM CHURENDRA	Samajwadi Party
Chhattisgarh	Dondi lahara	6197	None of the Above	None of the Above
Chhattisgarh	Dongargaon	67755	DALESHWAR  SAHU	Indian National Congress
Chhattisgarh	Dongargaon	66057	DINESH GANDHI	Bharatiya Janata Party
Chhattisgarh	Dongargaon	1857	RAMESH VERMA	Independent
