Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
3701,8274,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,MAHESH CHANDRA KANDPAL,IND,0,Not Given,0,0
3733,1090,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Mala Jangilamma,IND,0,Not Given,0,0
3734,9171,S22,31,TAMIL NADU,SIVAGANGA,Sivaganga,MALAIRAJ P,IND,0,Not Given,0,0
3750,706,S01,14,ANDHRA PRADESH,BHONGIR,Bhongir,Mamidigalla John Babu,IND,0,Not Given,0,0
3773,5366,S13,25,MAHARASHTRA,THANE,Thane,MANGESH BHARAT KHADE,IND,0,Literate,0,0
3792,8503,S22,22,TAMIL NADU,DINDIGUL,Dindigul,MANIKANDA PRABU G,IND,0,10th Pass,0,0
3878,8760,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,MARIMUTHU.P,IND,0,Not Given,0,0
3882,3210,S05,1,GOA,NORTH GOA,North Goa,MARTHA D SOUZA,IND,0,10th Pass,0,0
3893,413,S26,7,CHHATTISGARH,DURG,Durg,MASOOD KHAN,IND,0,Graduate,0,0
3904,1632,S11,17,KERALA,PATHANAMTHITTA,Pathanamthitta,Mathew Parey,IND,0,Graduate,0,0
3906,8894,S22,6,TAMIL NADU,KANCHEEPURAM,Kancheepuram,MATHIYALAGAN.K,IND,0,8th Pass,0,0
3954,1250,S27,14,JHARKHAND,HAZARIBAGH,Hazaribagh,MD. MOINUDDIN AHMED,IND,0,Not Given,0,0
3963,7328,S25,11,WEST BENGAL,MURSHIDABAD,Murshidabad,MD. SAHAZAMAL,SP,0,Not Given,0,0
4003,228,S13,13,MAHARASHTRA,CHANDRAPUR,Chandrapur,MESHRAM CHARANDAS JANGLUJI,IND,0,10th Pass,0,0
4057,6397,S20,25,RAJASTHAN,JHALAWAR-BARAN,Jhalawar-Baran,MOHAMMAD RAFIQ,IND,0,Not Given,0,0
4103,7614,U05,2,NCT OF DELHI,NORTH EAST DELHI,North East Delhi,MOHD. HASNAIN,IND,1,10th Pass,0,0
4145,8926,S22,9,TAMIL NADU,KRISHNAGIRI,Krishnagiri,MOORTHY. V.V.,BSP,0,Not Given,0,0
4152,2111,S06,1,GUJARAT,KACHCHH,Kachchh,MOTILAL DEVJIBHAI CHAUHAN,LPSP,0,Not Given,0,0
4156,8275,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,MOUALANA YADE ILAHI,IND,0,Not Given,0,0
