Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
"Sathiyanathan, N.",KANCHEEPURAM,0,5th Pass,7010,IND,6545,578000,0,2014,S22,6
Sathiyaraj J.S,KANCHEEPURAM,0,Doctorate,7004,BSP,6546,1205000,400000,2014,S22,6
Sathya C.E.,KANCHEEPURAM,0,Graduate,7008,MDMK,6547,20582544,60000,2014,S22,6
Sathyamurthy.C,TIRUVALLUR,0,Graduate Professional,7358,BSP,6548,2322609,0,2014,S22,1
Sathyan Mokeri,WAYANAD,2,Graduate,265,CPI,6549,3697322,502699,2014,S11,4
Sathyan Puthanveettil,WAYANAD,0,8th Pass,1857,IND,6550,226000,0,2014,S11,4
Sathyan Thazhemangad,WAYANAD,0,Literate,1859,IND,6551,47000,0,2014,S11,4
Sathyanarayana Yaadav Peddiboyina,MALKAJGIRI,0,5th Pass,7871,B.C.Bharata Desam Party,6552,66697499,1133132,2014,S01,7
Satish Arora,BATHINDA,0,12th Pass,7810,IND,6553,13615000,0,2014,S19,11
Satish Asangihal,BIJAPUR,0,Graduate Professional,1834,IND,6554,20500,0,2014,S10,4
Satish Babu Naidu,BHOPAL,0,10th Pass,3928,IND,6555,142015,0,2014,S12,19
"Satish Bhaskar Patil (Mudi Pra Dangri, Tal.Amalner)",JALGAON,0,12th Pass,5853,IND,6556,50000,0,2014,S13,3
"Satish Bhaskar Patil (Nandgaon Bk, Tal.Erandol)",JALGAON,0,Not Given,5851,IND,6557,100000,0,2014,S13,3
"Satish Bhaskar Patil (Varkhedi, Tal.Erandol)",JALGAON,0,5th Pass,5852,IND,6558,100000,0,2014,S13,3
Satish Chandra Sharma,MORADABAD,0,8th Pass,3129,Naitik Party,6559,937285,711000,2014,S24,6
Satish Dubey,VALMIKI NAGAR,3,10th Pass,113,BJP,6560,6061576,626789,2014,S04,1
Satish Gokuldas Pendam,GADCHIROLI-CHIMUR,0,Graduate Professional,932,AITC,6561,16000,0,2014,S13,12
Satish Kumar,NAWADA,0,10th Pass,619,IND,6562,11610000,0,2014,S04,39
Satish Kumar,ALIGARH,1,10th Pass,682,BJP,6563,52180006,754800,2014,S24,15
Satish Kumar,GAUTAM BUDHHA NAGAR,1,12th Pass,676,BSP,6564,599501967,201428322,2014,S24,13
Satish Kumar Minz,SUNDARGARH,0,Post Graduate,1139,IND,6565,3008000,0,2014,S18,2
Satish Kumar Sharma,SIKAR,0,Post Graduate,2341,Jago Party,6566,903500,5000,2014,S20,5
Satish Kumar Singal,KURUKSHETRA,0,Post Graduate,1029,IND,6567,8105000,0,2014,S07,2
Satish Parasmal Jain,MUMBAI NORTH,0,Graduate,5899,AAP,6568,201971234,65006000,2014,S13,26
Satish Poonchi,JAMMU,0,10th Pass,886,IND,6569,2513000,0,2014,S09,6
Satish Prasad Singh,KHAGARIA,1,Graduate,6185,IND,6570,3462200,25000,2014,S04,25
Satish Shankar Jayaswal,VARANASI,0,12th Pass,9766,IND,6571,100000,0,2014,S24,77
Satnam Paul Kamboj,FIROZPUR,0,Graduate Professional,6150,AAP,6572,1300000,0,2014,S19,10
Satpal,ROHTAK,0,10th Pass,452,IND,6573,3998000,0,2014,S07,7
Satpal S/O Lokram,BHIWANI-MAHENDRAGARH,0,12th Pass,2073,IND,6574,1754500,1945000,2014,S07,8
Satpal S/O Sube,BHIWANI-MAHENDRAGARH,0,12th Pass,2074,IND,6575,2766000,1700000,2014,S07,8
Satpal Singh,FARIDKOT,0,Illiterate,7782,Indian Krantikari Lehar,6576,1630000,0,2014,S19,9
Satya Brata Mookherjee,KRISHNANAGAR,0,Graduate,9414,BJP,6577,87696280,0,2014,S25,12
Satya Nand Sharma,NALANDA,0,Literate,2718,LJP,6578,12818500,0,2014,S04,29
Satya Narayan,SONIPAT,0,10th Pass,2055,IND,6579,14173000,0,2014,S07,6
Satya Narayan Bhagat,KATIHAR,0,Graduate,5256,Proutist Sarva Samaj,6580,1062200,0,2014,S04,11
Satya Narayan Mahar,KALAHANDI,1,Graduate,811,AAP,6581,32332,0,2014,S18,11
Satya Narayan Paswan,HAJIPUR,1,5th Pass,9090,AIFB,6582,0,0,2014,S04,21
Satya Narayan Sharma (Sattu Bhaiya),RAIPUR,1,12th Pass,4136,INC,6583,44901667,2259662,2014,S26,8
Satya Narayan Singh,KARAKAT,0,Graduate,41,IND,6584,19450824,2396194,2014,S04,35
Satya Pal Singh,SAMBHAL,0,Post Graduate,3189,BJP,6585,19904379,0,2014,S24,8
Satya Prakash,GONDA,2,Graduate,8711,SHS,6586,1156600,120000,2014,S24,59
Satya Prakash Pandey,SIWAN,0,Graduate Professional,9171,AAP,6587,12231703,7407841,2014,S04,18
